id,fecha,hora_inicio,tipo_intervals,categoria,subtipo,nombre,duracion_s,tiempo_total_s,distancia_m,ritmo_min_km,velocidad_media_ms,fc_media,fc_max,carga_hrss,trimp,intensidad_pct,calorias,desnivel_pos_m,cadencia_ppm,zancada_m,contacto_ms,oscilacion_cm,z1_s,z2_s,z3_s,z4_s,z5_s,z6_s,z7_s,recuperacion_fc,cant_vueltas,resumen_bloques,fitness_ctl,fatiga_atl,dispositivo,id_zepp,actualizado
i189773086,2026-08-06,18:22,Run,Carrera,Libre,Evening Correr,3582,3600,6567.0,9:08,1.824,142,168,61,99.1,78.1,647,53.0,139,0.79,316.0,6.3,1232,383,1023,915,28,0,0,16,7,1x 10m16s 109bpm | 4x 8m12s 152bpm | 1x 9m54s 151bpm | 1x 7m2s 128bpm,8.9,27.7,ZEPP Amazfit Active 2 (Round),Zepp20260806182257.fit,2026-09-23 23:41:22
i189773058,2026-08-08,17:01,Padel,Pádel,,Afternoon Padel,5282,5282,,,,145,172,95,158.0,80.5,988,,,,,,1263,1354,1389,1007,225,45,0,23,1,1x 1h28m 145bpm,10.7,33.4,ZEPP Amazfit Active 2 (Round),Zepp20260808170113.fit,2026-09-23 23:41:22
i189773102,2026-08-09,16:58,Walk,Caminata,,Afternoon Caminar,4342,4620,6208.0,11:40,1.429,95,121,17,28.2,37.5,371,61.0,115,0.75,,,4344,0,0,0,0,0,0,,7,4x 11m39s 103bpm | 2x 11m40s 78bpm | 1x 2m31s 113bpm,10.9,31.2,ZEPP Amazfit Active 2 (Round),Zepp20260809165842.fit,2026-09-23 23:41:21
i189773121,2026-08-10,18:57,Run,Carrera,Libre,Evening Correr,3597,3600,6819.0,8:48,1.894,150,177,75,122.2,86.6,703,59.0,141,0.81,310.0,6.5,1190,118,354,1049,542,283,62,27,7,2x 9m54s 126bpm | 5x 8m3s 161bpm,12.4,37.1,ZEPP Amazfit Active 2 (Round),Zepp20260810185705.fit,2026-09-23 23:41:21
i189773038,2026-08-14,18:34,Run,Carrera,Libre,Evening Correr,3599,3600,7145.0,8:24,1.985,138,169,57,89.6,75.5,611,58.0,141,0.84,317.0,7.0,1404,540,721,874,59,3,0,,8,1x 9m55s 98bpm | 1x 6m52s 129bpm | 1x 6m49s 149bpm | 3x 7m58s 155bpm | 1x 10m48s 136bpm | 1x 1m43s 110bpm,12.6,28.5,ZEPP Amazfit Active 2 (Round),Zepp20260814183439.fit,2026-09-23 23:41:20
i189773153,2026-08-15,16:51,Walk,Caminata,,Afternoon Caminar,2918,2922,4488.0,10:51,1.536,105,121,16,27.2,44.4,308,43.0,122,0.76,,,2918,0,0,0,0,0,0,,5,1x 11m3s 92bpm | 3x 10m45s 108bpm | 1x 5m25s 112bpm,12.7,26.9,ZEPP Amazfit Active 2 (Round),Zepp20260815165121.fit,2026-09-23 23:41:20
i189773146,2026-08-16,17:28,Walk,Caminata,,Afternoon Caminar,3578,3584,5467.0,10:56,1.525,103,128,18,31.1,42.5,357,31.0,121,0.76,,,3578,0,0,0,0,0,0,,6,5x 10m54s 102bpm | 1x 5m15s 104bpm,12.8,25.7,ZEPP Amazfit Active 2 (Round),Zepp20260816172857.fit,2026-09-23 23:41:20
i189773115,2026-08-17,18:46,Walk,Caminata,,Evening Caminar,3145,3160,5062.0,10:24,1.602,101,122,15,25.5,41.3,302,49.0,125,0.77,,,3145,0,0,0,0,0,0,,6,5x 10m23s 100bpm | 1x 46s 115bpm,12.9,24.3,ZEPP Amazfit Active 2 (Round),Zepp20260817184646.fit,2026-09-23 23:41:19
i189773140,2026-08-18,18:06,Run,Carrera,Libre,Evening Correr,3578,3586,6000.0,9:58,1.673,125,157,40,62.2,63.4,521,47.0,128,0.78,336.0,6.3,2243,487,737,112,0,0,0,,7,3x 12m16s 111bpm | 3x 7m38s 147bpm | 1x 4s 106bpm,13.5,26.3,ZEPP Amazfit Active 2 (Round),Zepp20260818180600.fit,2026-09-23 23:41:19
i189773157,2026-08-19,17:19,Walk,Caminata,,Afternoon Caminar,3460,3480,5006.0,11:35,1.439,104,127,18,31.2,43.2,355,39.0,114,0.76,,,3460,0,0,0,0,0,0,,6,3x 11m39s 110bpm | 2x 11m27s 93bpm | 1x 9s 113bpm,13.6,25.2,ZEPP Amazfit Active 2 (Round),Zepp20260819171954.fit,2026-09-23 23:41:18
i189773160,2026-08-20,18:13,Run,Carrera,Libre,Evening Correr,3143,3149,5823.0,9:01,1.849,136,174,47,74.2,73.3,526,40.0,133,0.84,339.0,6.7,1597,273,753,440,49,29,3,23,6,2x 8m54s 119bpm | 2x 7m4s 151bpm | 1x 9m18s 155bpm | 1x 11m17s 129bpm,14.4,28.1,ZEPP Amazfit Active 2 (Round),Zepp20260820181340.fit,2026-09-23 23:41:18
i189773104,2026-08-22,17:50,Padel,Pádel,,Afternoon Padel,5106,5106,,,,132,168,68,108.1,69.2,814,,,,,,2890,1111,807,250,49,0,0,18,1,1x 1h25m 132bpm,15.3,30.2,ZEPP Amazfit Active 2 (Round),Zepp20260822175001.fit,2026-09-23 23:41:17
i189773134,2026-08-24,19:01,Run,Carrera,Libre,Evening Correr,3162,3177,5883.0,8:60,1.852,133,159,43,68.8,69.8,509,40.0,134,0.84,328.0,6.8,1635,108,1384,32,0,0,0,,6,1x 8m45s 124bpm | 2x 7m5s 151bpm | 1x 8m31s 151bpm | 1x 11m29s 116bpm | 1x 10m4s 118bpm,15.6,28.4,ZEPP Amazfit Active 2 (Round),Zepp20260824190125.fit,2026-09-23 23:41:17
i189400067,2026-08-26,18:04,Run,Carrera,Bloques,Evening Correr,3132,3175,6039.0,8:40,1.924,137,164,45,74.5,71.9,525,46.0,135,0.85,324.0,6.9,1577,124,938,488,0,0,0,,3,1x 5m37s 117bpm | 1x 24m59s 153bpm | 1x 22m19s 121bpm,16.0,27.3,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1787778251,2026-09-23 23:41:16
i189400071,2026-08-28,18:54,Run,Carrera,Series,Evening Correr,1581,1582,3007.0,8:46,1.901,125,144,15,27.5,58.4,226,35.0,127,0.9,341.0,6.2,1496,87,0,0,0,0,0,,21,1x 32s 112bpm | 10x 60s 131bpm | 9x 30s 129bpm | 1x 11m22s 117bpm,15.6,22.5,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1787954075,2026-09-23 23:41:16
i189400074,2026-08-30,17:25,Padel,Pádel,,Afternoon Padel,2974,2974,,,,147,174,54,93.7,80.9,561,,,,,,617,783,930,502,71,71,1,25,1,1x 49m35s 147bpm,16.1,24.1,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1788121542,2026-09-23 23:41:16
i189400079,2026-09-03,18:11,Run,Carrera,Bloques,Evening Correr,3079,3080,6095.0,8:25,1.979,135,156,41,71.4,69.2,502,44.0,135,0.88,314.0,7.2,1608,504,965,2,0,0,0,,3,1x 5m1s 101bpm | 1x 25m 145bpm | 1x 21m20s 129bpm,15.6,19.1,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1788469883,2026-09-23 23:41:15
i189400083,2026-09-08,18:27,Run,Carrera,Bloques,Evening Correr,3102,3107,6165.0,8:24,1.984,136,158,43,76.0,70.6,516,47.0,136,0.88,319.0,6.9,1566,68,1447,22,0,0,0,,3,1x 5m2s 109bpm | 1x 25m 151bpm | 1x 21m46s 124bpm,14.9,15.1,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1788902856,2026-09-23 23:41:15
i189400084,2026-09-12,14:39,Padel,Pádel,,Afternoon Padel,5005,5005,,,,133,155,59,111.2,65.2,800,,,,,,3746,1035,225,0,0,0,0,,1,1x 1h23m 132bpm,14.9,16.4,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1789234752,2026-09-23 23:41:14
i189400086,2026-09-14,18:36,Run,Carrera,Bloques,Evening Correr,1704,1712,3260.0,8:45,1.904,126,164,19,30.5,63.2,249,40.0,125,0.91,323.0,6.3,1121,210,219,155,0,0,0,,3,1x 5m2s 89bpm | 1x 13m31s 137bpm | 1x 10m 127bpm,14.7,14.8,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1789421800,2026-09-23 23:41:14
i189400092,2026-09-18,19:52,Run,Carrera,Libre,Evening Correr,1126,1127,2324.0,8:05,2.062,142,154,18,31.2,75.9,200,28.0,143,0.87,316.0,7.2,261,358,509,0,0,0,0,,2,1x 15m2s 145bpm | 1x 3m45s 129bpm,13.8,10.8,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1789771932,2026-09-23 23:45:14
i189400095,2026-09-19,17:03,Padel,Pádel,,Afternoon Padel,3771,3771,,,,144,175,63,109.9,77.6,651,,,,,,1089,897,1125,495,70,53,10,30,1,1x 1h2m 144bpm,14.9,17.7,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1789848204,2026-09-23 23:45:13
i189400096,2026-09-22,17:12,Run,Carrera,Bloques,Afternoon Correr,3293,3300,6685.0,8:14,2.026,143,165,55,96.4,77.5,591,50.0,139,0.88,324.0,7.0,1522,107,401,1229,35,0,0,,3,1x 5m1s 126bpm | 1x 28m 157bpm | 1x 22m 127bpm,15.2,18.9,ZEPP Amazfit Active 2 (Round),run.10092807.huami.com 1790107973,2026-09-23 23:45:13
